# Copyright (C) 1991-2013 Altera Corporation
# Your use of Altera Corporation's design tools, logic functions 
# and other software and tools, and its AMPP partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Altera Program License 
# Subscription Agreement, Altera MegaCore Function License 
# Agreement, or other applicable license agreement, including, 
# without limitation, that your use is for the sole purpose of 
# programming logic devices manufactured by Altera and sold by 
# Altera or its authorized distributors.  Please refer to the 
# applicable agreement for further details.

# Quartus II 64-Bit Version 13.1.0 Build 162 10/23/2013 SJ Web Edition
# File: C:\Users\user\Desktop\SD_CARD\sd_card.csv
# Generated on: Mon Aug 17 21:59:23 2015

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus II software.

To,Direction,Location,I/O Bank,VREF Group,Fitter Location,I/O Standard,Reserved,Current Strength,Slew Rate,Differential Pair
LEDR[5],Output,PIN_E18,7,B7_N1,PIN_E18,3.3-V LVTTL,,,,
LEDR[4],Output,PIN_F18,7,B7_N1,PIN_F18,3.3-V LVTTL,,,,
LEDR[3],Output,PIN_F21,7,B7_N0,PIN_F21,3.3-V LVTTL,,,,
LEDR[2],Output,PIN_E19,7,B7_N0,PIN_E19,3.3-V LVTTL,,,,
LEDR[1],Output,PIN_F19,7,B7_N0,PIN_F19,3.3-V LVTTL,,,,
LEDR[0],Output,PIN_G19,7,B7_N2,PIN_G19,3.3-V LVTTL,,,,
SD_CLK,Output,PIN_AE13,3,B3_N0,PIN_AE13,3.3-V LVTTL,,,,
SD_CMD,Output,PIN_AD14,3,B3_N0,PIN_AD14,3.3-V LVTTL,,,,
SD_DAT[3],Bidir,PIN_AC14,3,B3_N0,PIN_AC14,3.3-V LVTTL,,,,
SD_DAT[2],Bidir,PIN_AB14,3,B3_N0,PIN_AB14,3.3-V LVTTL,,,,
SD_DAT[1],Bidir,PIN_AF13,3,B3_N0,PIN_AF13,3.3-V LVTTL,,,,
SD_DAT[0],Bidir,PIN_AE14,3,B3_N0,PIN_AE14,3.3-V LVTTL,,,,
SW[1],Unknown,PIN_AC28,5,B5_N2,,3.3-V LVTTL,,,,
SW[2],Unknown,PIN_AC27,5,B5_N2,,3.3-V LVTTL,,,,
SW[3],Unknown,PIN_AD27,5,B5_N2,,3.3-V LVTTL,,,,
SW[4],Unknown,PIN_AB27,5,B5_N1,,3.3-V LVTTL,,,,
SW[5],Unknown,PIN_AC26,5,B5_N2,,3.3-V LVTTL,,,,
SW[6],Unknown,PIN_AD26,5,B5_N2,,3.3-V LVTTL,,,,
SW[7],Unknown,PIN_AB26,5,B5_N1,,3.3-V LVTTL,,,,
SW[8],Unknown,PIN_AC25,5,B5_N2,,3.3-V LVTTL,,,,
SW[9],Unknown,PIN_AB25,5,B5_N1,,3.3-V LVTTL,,,,
VGA_R[0],Unknown,PIN_E12,8,B8_N1,,3.3-V LVTTL,,,,
VGA_R[1],Unknown,PIN_E11,8,B8_N1,,3.3-V LVTTL,,,,
VGA_R[2],Unknown,PIN_D10,8,B8_N1,,3.3-V LVTTL,,,,
VGA_R[3],Unknown,PIN_F12,8,B8_N1,,3.3-V LVTTL,,,,
VGA_G[0],Unknown,PIN_G8,8,B8_N2,,3.3-V LVTTL,,,,
VGA_G[1],Unknown,PIN_G11,8,B8_N1,,3.3-V LVTTL,,,,
VGA_G[2],Unknown,PIN_F8,8,B8_N2,,3.3-V LVTTL,,,,
VGA_G[3],Unknown,PIN_H12,8,B8_N1,,3.3-V LVTTL,,,,
VGA_B[0],Unknown,PIN_B10,8,B8_N0,,3.3-V LVTTL,,,,
VGA_B[1],Unknown,PIN_A10,8,B8_N0,,3.3-V LVTTL,,,,
VGA_B[2],Unknown,PIN_C11,8,B8_N1,,3.3-V LVTTL,,,,
VGA_B[3],Unknown,PIN_B11,8,B8_N0,,3.3-V LVTTL,,,,
VGA_HS,Unknown,PIN_G13,8,B8_N0,,3.3-V LVTTL,,,,
VGA_VS,Unknown,PIN_C13,8,B8_N0,,3.3-V LVTTL,,,,
VGA_B[4],Unknown,PIN_A11,8,B8_N0,,3.3-V LVTTL,,,,
VGA_B[5],Unknown,PIN_C12,8,B8_N0,,3.3-V LVTTL,,,,
VGA_B[6],Unknown,PIN_D11,8,B8_N1,,3.3-V LVTTL,,,,
VGA_B[7],Unknown,PIN_D12,8,B8_N0,,3.3-V LVTTL,,,,
VGA_R[4],Unknown,PIN_G10,8,B8_N1,,3.3-V LVTTL,,,,
VGA_R[5],Unknown,PIN_J12,8,B8_N0,,3.3-V LVTTL,,,,
VGA_R[6],Unknown,PIN_H8,8,B8_N2,,3.3-V LVTTL,,,,
VGA_R[7],Unknown,PIN_H10,8,B8_N1,,3.3-V LVTTL,,,,
VGA_G[4],Unknown,PIN_C8,8,B8_N1,,3.3-V LVTTL,,,,
VGA_G[5],Unknown,PIN_B8,8,B8_N1,,3.3-V LVTTL,,,,
VGA_G[6],Unknown,PIN_F10,8,B8_N1,,3.3-V LVTTL,,,,
VGA_G[7],Unknown,PIN_C9,8,B8_N1,,3.3-V LVTTL,,,,
VGA_CLK,Unknown,PIN_A12,8,B8_N0,,3.3-V LVTTL,,,,
SW[10],Unknown,PIN_AC24,5,B5_N2,,,,,,
SW[11],Unknown,PIN_AB24,5,B5_N2,,,,,,
SW[12],Unknown,PIN_AB23,5,B5_N2,,,,,,
SW[13],Unknown,PIN_AA24,5,B5_N2,,,,,,
SW[14],Unknown,PIN_AA23,5,B5_N2,,,,,,
SW[15],Unknown,PIN_AA22,5,B5_N2,,,,,,
SW[16],Unknown,PIN_Y24,5,B5_N2,,,,,,
SW[17],Unknown,PIN_Y23,5,B5_N2,,,,,,
DRAM_ADDR[0],Unknown,PIN_T6,,,,,,,,
DRAM_ADDR[1],Unknown,PIN_V4,2,B2_N0,,,,,,
DRAM_ADDR[2],Unknown,PIN_V3,2,B2_N0,,,,,,
DRAM_ADDR[3],Unknown,PIN_W2,2,B2_N0,,,,,,
DRAM_ADDR[4],Unknown,PIN_W1,2,B2_N1,,,,,,
DRAM_ADDR[5],Unknown,PIN_U6,2,B2_N1,,,,,,
DRAM_ADDR[6],Unknown,PIN_U7,2,B2_N1,,,,,,
DRAM_ADDR[7],Unknown,PIN_U5,2,B2_N1,,,,,,
DRAM_ADDR[8],Unknown,PIN_W4,2,B2_N2,,,,,,
DRAM_ADDR[9],Unknown,PIN_W3,2,B2_N2,,,,,,
DRAM_ADDR[10],Unknown,PIN_Y1,2,B2_N0,,,,,,
DRAM_ADDR[11],Unknown,PIN_V5,2,B2_N1,,,,,,
DRAM_BA_0,Unknown,PIN_AE2,2,B2_N1,,,,,,
DRAM_BA_1,Unknown,PIN_AE3,2,B2_N2,,,,,,
DRAM_CAS_N,Unknown,PIN_AB3,2,B2_N1,,,,,,
DRAM_CKE,Unknown,PIN_AA6,2,B2_N2,,,,,,
DRAM_CLK,Unknown,PIN_AA7,2,B2_N2,,,,,,
DRAM_CS_N,Unknown,PIN_AC3,2,B2_N1,,,,,,
DRAM_DQ[0],Unknown,PIN_V6,2,B2_N1,,,,,,
DRAM_DQ[1],Unknown,PIN_AA2,,,,,,,,
DRAM_DQ[2],Unknown,PIN_AA1,2,,,,,,,
DRAM_DQ[3],Unknown,PIN_Y3,2,B2_N1,,,,,,
DRAM_DQ[4],Unknown,PIN_Y4,2,B2_N1,,,,,,
DRAM_DQ[5],Unknown,PIN_R8,1,B1_N2,,,,,,
DRAM_DQ[6],Unknown,PIN_T8,2,B2_N1,,,,,,
DRAM_DQ[7],Unknown,PIN_V7,2,B2_N1,,,,,,
DRAM_DQ[8],Unknown,PIN_W6,,,,,,,,
DRAM_DQ[9],Unknown,PIN_AB2,2,B2_N0,,,,,,
DRAM_DQ[10],Unknown,PIN_AB1,2,B2_N0,,,,,,
DRAM_DQ[11],Unknown,PIN_AA4,2,B2_N1,,,,,,
DRAM_DQ[12],Unknown,PIN_AA3,2,B2_N1,,,,,,
DRAM_DQ[13],Unknown,PIN_AC2,2,B2_N1,,,,,,
DRAM_DQ[14],Unknown,PIN_AC1,2,B2_N1,,,,,,
DRAM_DQ[15],Unknown,PIN_AA5,2,B2_N2,,,,,,
DRAM_LDQM,Unknown,PIN_AD2,2,B2_N1,,,,,,
DRAM_UDQM,Unknown,PIN_Y5,2,B2_N2,,,,,,
DRAM_RAS_N,Unknown,PIN_AB4,2,B2_N2,,,,,,
DRAM_WE_N,Unknown,PIN_AD3,2,B2_N1,,,,,,
FL_ADDR[0],Unknown,PIN_AC18,4,B4_N1,,,,,,
FL_ADDR[1],Unknown,PIN_AB18,4,B4_N0,,,,,,
FL_ADDR[2],Unknown,PIN_AE19,4,B4_N1,,,,,,
FL_ADDR[3],Unknown,PIN_AF19,4,B4_N1,,,,,,
FL_ADDR[4],Unknown,PIN_AE18,4,B4_N2,,,,,,
FL_ADDR[5],Unknown,PIN_AF18,4,B4_N1,,,,,,
FL_ADDR[6],Unknown,PIN_Y16,4,B4_N0,,,,,,
FL_ADDR[7],Unknown,PIN_AA16,4,B4_N2,,,,,,
FL_ADDR[8],Unknown,PIN_AD17,4,B4_N2,,,,,,
FL_ADDR[9],Unknown,PIN_AC17,4,B4_N2,,,,,,
FL_ADDR[10],Unknown,PIN_AE17,4,B4_N2,,,,,,
FL_ADDR[11],Unknown,PIN_AF17,4,B4_N2,,,,,,
FL_ADDR[12],Unknown,PIN_W16,,,,,,,,
FL_ADDR[13],Unknown,PIN_W15,,,,,,,,
FL_ADDR[14],Unknown,PIN_AC16,,,,,,,,
FL_ADDR[15],Unknown,PIN_AD16,4,,,,,,,
FL_ADDR[16],Unknown,PIN_AE16,4,B4_N2,,,,,,
FL_ADDR[17],Unknown,PIN_AC15,4,B4_N2,,,,,,
FL_ADDR[18],Unknown,PIN_AB15,4,B4_N2,,,,,,
FL_ADDR[19],Unknown,PIN_AA15,4,B4_N2,,,,,,
FL_ADDR[20],Unknown,PIN_Y15,3,B3_N0,,,,,,
FL_ADDR[21],Unknown,PIN_Y14,3,B3_N0,,,,,,
FL_CE_N,Unknown,PIN_V17,,,,,,,,
FL_OE_N,Unknown,PIN_W17,,,,,,,,
FL_DQ[0],Unknown,PIN_AD19,4,B4_N0,,,,,,
FL_DQ[1],Unknown,PIN_AC19,4,B4_N0,,,,,,
FL_DQ[2],Unknown,PIN_AF20,4,B4_N1,,,,,,
FL_DQ[3],Unknown,PIN_AE20,4,B4_N1,,,,,,
FL_DQ[4],Unknown,PIN_AB20,4,B4_N0,,,,,,
FL_DQ[5],Unknown,PIN_AC20,,,,,,,,
FL_DQ[6],Unknown,PIN_AF21,4,B4_N1,,,,,,
FL_DQ[7],Unknown,PIN_AE21,4,B4_N1,,,,,,
FL_RST_N,Unknown,PIN_AA18,4,,,,,,,
FL_WE_N,Unknown,PIN_AA17,4,B4_N1,,,,,,
LEDR[16],Unknown,PIN_G16,7,B7_N2,,3.3-V LVTTL,,,,
LEDR[17],Unknown,PIN_H15,7,B7_N2,,3.3-V LVTTL,,,,
LEDG[0],Unknown,PIN_E21,7,B7_N0,,3.3-V LVTTL,,,,
LEDG[1],Unknown,PIN_E22,7,B7_N0,,3.3-V LVTTL,,,,
LEDG[2],Unknown,PIN_E25,7,B7_N1,,3.3-V LVTTL,,,,
LEDG[3],Unknown,PIN_E24,7,B7_N1,,3.3-V LVTTL,,,,
LEDG[4],Unknown,PIN_H21,7,B7_N2,,3.3-V LVTTL,,,,
LEDG[5],Unknown,PIN_G20,7,B7_N1,,3.3-V LVTTL,,,,
LEDG[6],Unknown,PIN_G22,7,B7_N2,,3.3-V LVTTL,,,,
LEDG[7],Unknown,PIN_G21,7,B7_N1,,3.3-V LVTTL,,,,
LEDG[8],Unknown,PIN_F17,7,B7_N2,,3.3-V LVTTL,,,,
CLOCK_27,Unknown,PIN_D13,8,B8_N0,,,,,,
EXT_CLOCK,Unknown,PIN_P26,6,B6_N2,,3.3-V LVTTL,,,,
PS2_CLK,Unknown,PIN_D26,6,B6_N0,,3.3-V LVTTL,,,,
PS2_DAT,Unknown,PIN_C24,7,B7_N0,,3.3-V LVTTL,,,,
UART_RXD,Unknown,PIN_C25,7,B7_N0,,3.3-V LVTTL,,,,
UART_TXD,Unknown,PIN_B25,7,B7_N0,,3.3-V LVTTL,,,,
LCD_RW,Unknown,PIN_K4,1,B1_N1,,,,,,
LCD_EN,Unknown,PIN_K3,1,B1_N1,,,,,,
LCD_RS,Unknown,PIN_K1,1,B1_N1,,,,,,
LCD_DATA[0],Unknown,PIN_J1,1,B1_N2,,,,,,
LCD_DATA[1],Unknown,PIN_J2,,,,,,,,
LCD_DATA[2],Unknown,PIN_H1,1,,,,,,,
LCD_DATA[3],Unknown,PIN_H2,,,,,,,,
LCD_DATA[4],Unknown,PIN_J4,1,B1_N1,,,,,,
LCD_DATA[5],Unknown,PIN_J3,1,B1_N1,,,,,,
LCD_DATA[6],Unknown,PIN_H4,1,B1_N0,,,,,,
LCD_DATA[7],Unknown,PIN_H3,1,B1_N0,,,,,,
LCD_ON,Unknown,PIN_L4,1,B1_N1,,,,,,
LCD_BLON,Unknown,PIN_K2,1,B1_N1,,,,,,
SRAM_ADDR[0],Unknown,PIN_AE4,3,B3_N2,,,,,,
SRAM_ADDR[1],Unknown,PIN_AF4,3,B3_N2,,,,,,
SRAM_ADDR[2],Unknown,PIN_AC5,2,B2_N2,,,,,,
SRAM_ADDR[3],Unknown,PIN_AC6,,,,,,,,
SRAM_ADDR[4],Unknown,PIN_AD4,3,B3_N2,,,,,,
SRAM_ADDR[5],Unknown,PIN_AD5,3,B3_N2,,,,,,
SRAM_ADDR[6],Unknown,PIN_AE5,3,B3_N2,,,,,,
SRAM_ADDR[7],Unknown,PIN_AF5,3,B3_N2,,,,,,
SRAM_ADDR[8],Unknown,PIN_AD6,3,,,,,,,
SRAM_ADDR[9],Unknown,PIN_AD7,3,B3_N2,,,,,,
SRAM_ADDR[10],Unknown,PIN_V10,,,,,,,,
SRAM_ADDR[11],Unknown,PIN_V9,,,,,,,,
SRAM_ADDR[12],Unknown,PIN_AC7,3,B3_N2,,,,,,
SRAM_ADDR[13],Unknown,PIN_W8,2,B2_N2,,,,,,
SRAM_ADDR[14],Unknown,PIN_W10,,,,,,,,
SRAM_ADDR[15],Unknown,PIN_Y10,3,B3_N2,,,,,,
SRAM_ADDR[16],Unknown,PIN_AB8,3,B3_N2,,,,,,
SRAM_ADDR[17],Unknown,PIN_AC8,3,B3_N1,,,,,,
SRAM_DQ[0],Unknown,PIN_AD8,3,B3_N2,,,,,,
SRAM_DQ[1],Unknown,PIN_AE6,3,B3_N2,,,,,,
SRAM_DQ[2],Unknown,PIN_AF6,3,B3_N2,,,,,,
SRAM_DQ[3],Unknown,PIN_AA9,,,,,,,,
SRAM_DQ[4],Unknown,PIN_AA10,3,B3_N1,,,,,,
SRAM_DQ[5],Unknown,PIN_AB10,3,B3_N1,,,,,,
SRAM_DQ[6],Unknown,PIN_AA11,3,,,,,,,
SRAM_DQ[7],Unknown,PIN_Y11,,,,,,,,
SRAM_DQ[8],Unknown,PIN_AE7,3,B3_N1,,,,,,
SRAM_DQ[9],Unknown,PIN_AF7,3,B3_N1,,,,,,
SRAM_DQ[10],Unknown,PIN_AE8,3,B3_N1,,,,,,
SRAM_DQ[11],Unknown,PIN_AF8,3,B3_N1,,,,,,
SRAM_DQ[12],Unknown,PIN_W11,,,,,,,,
SRAM_DQ[13],Unknown,PIN_W12,,,,,,,,
SRAM_DQ[14],Unknown,PIN_AC9,,,,,,,,
SRAM_DQ[15],Unknown,PIN_AC10,3,B3_N0,,,,,,
SRAM_WE_N,Unknown,PIN_AE10,3,B3_N1,,,,,,
SRAM_OE_N,Unknown,PIN_AD10,3,B3_N2,,,,,,
SRAM_UB_N,Unknown,PIN_AF9,3,B3_N1,,,,,,
SRAM_LB_N,Unknown,PIN_AE9,3,B3_N1,,,,,,
SRAM_CE_N,Unknown,PIN_AC11,3,B3_N0,,,,,,
OTG_ADDR[0],Unknown,PIN_K7,1,B1_N1,,,,,,
OTG_ADDR[1],Unknown,PIN_F2,1,B1_N1,,,,,,
OTG_CS_N,Unknown,PIN_F1,1,B1_N1,,,,,,
OTG_RD_N,Unknown,PIN_G2,1,B1_N1,,,,,,
OTG_WR_N,Unknown,PIN_G1,1,B1_N1,,,,,,
OTG_RST_N,Unknown,PIN_G5,1,B1_N0,,,,,,
OTG_DATA[0],Unknown,PIN_F4,1,B1_N0,,,,,,
OTG_DATA[1],Unknown,PIN_D2,1,B1_N0,,,,,,
OTG_DATA[2],Unknown,PIN_D1,1,B1_N0,,,,,,
OTG_DATA[3],Unknown,PIN_F7,8,B8_N2,,,,,,
OTG_DATA[4],Unknown,PIN_J5,1,B1_N1,,,,,,
OTG_DATA[5],Unknown,PIN_J8,,,,,,,,
OTG_DATA[6],Unknown,PIN_J7,1,B1_N1,,,,,,
OTG_DATA[7],Unknown,PIN_H6,1,B1_N0,,,,,,
OTG_DATA[8],Unknown,PIN_E2,1,B1_N0,,,,,,
OTG_DATA[9],Unknown,PIN_E1,1,B1_N0,,,,,,
OTG_DATA[10],Unknown,PIN_K6,,,,,,,,
OTG_DATA[11],Unknown,PIN_K5,1,,,,,,,
OTG_DATA[12],Unknown,PIN_G4,1,B1_N0,,,,,,
OTG_DATA[13],Unknown,PIN_G3,1,B1_N0,,,,,,
OTG_DATA[14],Unknown,PIN_J6,1,B1_N1,,,,,,
OTG_DATA[15],Unknown,PIN_K8,1,B1_N2,,,,,,
OTG_INT0,Unknown,PIN_B3,8,B8_N2,,,,,,
OTG_INT1,Unknown,PIN_C3,8,B8_N2,,,,,,
OTG_DACK0_N,Unknown,PIN_C2,1,B1_N0,,,,,,
OTG_DACK1_N,Unknown,PIN_B2,,,,,,,,
OTG_DREQ0,Unknown,PIN_F6,,,,,,,,
OTG_DREQ1,Unknown,PIN_E5,8,B8_N2,,,,,,
OTG_FSPEED,Unknown,PIN_F3,1,B1_N0,,,,,,
OTG_LSPEED,Unknown,PIN_G6,1,B1_N0,,,,,,
TDI,Unknown,PIN_B14,8,B8_N0,,3.3-V LVTTL,,,,
TCS,Unknown,PIN_A14,8,B8_N0,,3.3-V LVTTL,,,,
TCK,Unknown,PIN_D14,8,B8_N0,,3.3-V LVTTL,,,,
TDO,Unknown,PIN_F14,8,B8_N0,,3.3-V LVTTL,,,,
TD_RESET,Unknown,PIN_C4,8,B8_N2,,,,,,
I2C_SCLK,Unknown,PIN_A6,8,B8_N1,,3.3-V LVTTL,,,,
I2C_SDAT,Unknown,PIN_B6,8,B8_N1,,3.3-V LVTTL,,,,
TD_DATA[0],Unknown,PIN_J9,,,,,,,,
TD_DATA[1],Unknown,PIN_E8,8,B8_N2,,,,,,
TD_DATA[2],Unknown,PIN_H8,8,B8_N2,,,,,,
TD_DATA[3],Unknown,PIN_H10,8,B8_N1,,,,,,
TD_DATA[4],Unknown,PIN_G9,8,B8_N2,,,,,,
TD_DATA[5],Unknown,PIN_F9,,,,,,,,
TD_DATA[6],Unknown,PIN_D7,8,B8_N2,,,,,,
TD_DATA[7],Unknown,PIN_C7,8,B8_N2,,,,,,
TD_HS,Unknown,PIN_D5,8,B8_N2,,,,,,
TD_VS,Unknown,PIN_K9,,,,,,,,
AUD_ADCLRCK,Unknown,PIN_C5,8,B8_N2,,3.3-V LVTTL,,,,
AUD_ADCDAT,Unknown,PIN_B5,,,,3.3-V LVTTL,,,,
AUD_DACLRCK,Unknown,PIN_C6,8,B8_N2,,3.3-V LVTTL,,,,
AUD_DACDAT,Unknown,PIN_A4,8,B8_N2,,3.3-V LVTTL,,,,
AUD_XCK,Unknown,PIN_A5,8,,,3.3-V LVTTL,,,,
AUD_BCLK,Unknown,PIN_B4,8,B8_N2,,3.3-V LVTTL,,,,
ENET_DATA[0],Unknown,PIN_D17,7,B7_N1,,,,,,
ENET_DATA[1],Unknown,PIN_C17,7,B7_N1,,,,,,
ENET_DATA[2],Unknown,PIN_B18,7,B7_N1,,,,,,
ENET_DATA[3],Unknown,PIN_A18,7,B7_N1,,,,,,
ENET_DATA[4],Unknown,PIN_B17,7,B7_N2,,,,,,
ENET_DATA[5],Unknown,PIN_A17,7,B7_N2,,,,,,
ENET_DATA[6],Unknown,PIN_B16,,,,,,,,
ENET_DATA[7],Unknown,PIN_B15,7,B7_N2,,,,,,
ENET_DATA[8],Unknown,PIN_B20,,,,,,,,
ENET_DATA[9],Unknown,PIN_A20,7,,,,,,,
ENET_DATA[10],Unknown,PIN_C19,7,B7_N1,,,,,,
ENET_DATA[11],Unknown,PIN_D19,7,B7_N1,,,,,,
ENET_DATA[12],Unknown,PIN_B19,7,B7_N1,,,,,,
ENET_DATA[13],Unknown,PIN_A19,7,B7_N1,,,,,,
ENET_DATA[15],Unknown,PIN_D18,7,B7_N1,,,,,,
ENET_CLK,Unknown,PIN_B24,,,,,,,,
ENET_CMD,Unknown,PIN_A21,7,B7_N1,,,,,,
ENET_CS_N,Unknown,PIN_A23,7,B7_N0,,,,,,
ENET_INT,Unknown,PIN_B21,7,B7_N1,,,,,,
ENET_RD_N,Unknown,PIN_A22,7,B7_N1,,,,,,
ENET_WR_N,Unknown,PIN_B22,7,B7_N1,,,,,,
ENET_RST_N,Unknown,PIN_B23,7,B7_N0,,,,,,
IRDA_TXD,Unknown,PIN_AE24,4,B4_N0,,,,,,
IRDA_RXD,Unknown,PIN_AE25,4,B4_N1,,,,,,
GPIO_0[0],Unknown,PIN_D25,7,B7_N0,,3.3-V LVTTL,,,,
GPIO_0[1],Unknown,PIN_J22,6,B6_N0,,3.3-V LVTTL,,,,
GPIO_0[2],Unknown,PIN_E26,6,B6_N1,,3.3-V LVTTL,,,,
GPIO_0[4],Unknown,PIN_F24,6,B6_N0,,3.3-V LVTTL,,,,
GPIO_0[5],Unknown,PIN_F23,,,,3.3-V LVTTL,,,,
GPIO_0[6],Unknown,PIN_J21,,,,3.3-V LVTTL,,,,
GPIO_0[7],Unknown,PIN_J20,,,,3.3-V LVTTL,,,,
GPIO_0[8],Unknown,PIN_F25,6,B6_N0,,3.3-V LVTTL,,,,
GPIO_0[9],Unknown,PIN_F26,6,B6_N1,,3.3-V LVTTL,,,,
GPIO_0[10],Unknown,PIN_N18,,,,3.3-V LVTTL,,,,
GPIO_0[11],Unknown,PIN_P18,,,,3.3-V LVTTL,,,,
GPIO_0[12],Unknown,PIN_G23,6,B6_N0,,3.3-V LVTTL,,,,
GPIO_0[13],Unknown,PIN_G24,6,B6_N0,,3.3-V LVTTL,,,,
GPIO_0[14],Unknown,PIN_K22,6,B6_N0,,3.3-V LVTTL,,,,
GPIO_0[15],Unknown,PIN_G25,6,B6_N0,,3.3-V LVTTL,,,,
GPIO_0[16],Unknown,PIN_H23,6,B6_N0,,3.3-V LVTTL,,,,
GPIO_0[17],Unknown,PIN_H24,6,B6_N0,,3.3-V LVTTL,,,,
GPIO_0[18],Unknown,PIN_J23,6,B6_N0,,3.3-V LVTTL,,,,
GPIO_0[19],Unknown,PIN_J24,6,B6_N0,,3.3-V LVTTL,,,,
GPIO_0[20],Unknown,PIN_H25,6,B6_N1,,3.3-V LVTTL,,,,
GPIO_0[21],Unknown,PIN_H26,6,B6_N1,,3.3-V LVTTL,,,,
GPIO_0[23],Unknown,PIN_K18,,,,3.3-V LVTTL,,,,
GPIO_0[24],Unknown,PIN_K19,,,,3.3-V LVTTL,,,,
GPIO_0[25],Unknown,PIN_K21,6,B6_N0,,3.3-V LVTTL,,,,
GPIO_0[26],Unknown,PIN_K23,,,,3.3-V LVTTL,,,,
GPIO_0[27],Unknown,PIN_K24,6,,,3.3-V LVTTL,,,,
GPIO_0[28],Unknown,PIN_L21,6,B6_N0,,3.3-V LVTTL,,,,
GPIO_0[29],Unknown,PIN_L20,,,,3.3-V LVTTL,,,,
GPIO_0[30],Unknown,PIN_J25,6,B6_N1,,3.3-V LVTTL,,,,
GPIO_0[31],Unknown,PIN_J26,6,B6_N1,,3.3-V LVTTL,,,,
GPIO_0[32],Unknown,PIN_L23,6,B6_N1,,3.3-V LVTTL,,,,
GPIO_0[33],Unknown,PIN_L24,6,B6_N2,,3.3-V LVTTL,,,,
GPIO_0[34],Unknown,PIN_L25,6,B6_N1,,3.3-V LVTTL,,,,
GPIO_0[35],Unknown,PIN_L19,,,,3.3-V LVTTL,,,,
GPIO_1[0],Unknown,PIN_K25,6,B6_N1,,3.3-V LVTTL,,,,
GPIO_1[1],Unknown,PIN_K26,6,B6_N1,,3.3-V LVTTL,,,,
GPIO_1[2],Unknown,PIN_M22,6,B6_N2,,3.3-V LVTTL,,,,
GPIO_1[3],Unknown,,,,,3.3-V LVTTL,,,,
GPIO_1[4],Unknown,,,,,3.3-V LVTTL,,,,
GPIO_1[5],Unknown,PIN_M20,,,,3.3-V LVTTL,,,,
GPIO_1[6],Unknown,PIN_N20,,,,3.3-V LVTTL,,,,
GPIO_1[7],Unknown,,,,,3.3-V LVTTL,,,,
GPIO_1[8],Unknown,PIN_M24,6,B6_N2,,3.3-V LVTTL,,,,
GPIO_1[9],Unknown,PIN_M25,6,B6_N2,,3.3-V LVTTL,,,,
GPIO_1[10],Unknown,PIN_N24,6,,,3.3-V LVTTL,,,,
GPIO_1[11],Unknown,PIN_P24,6,B6_N2,,3.3-V LVTTL,,,,
GPIO_1[12],Unknown,PIN_R25,5,B5_N0,,3.3-V LVTTL,,,,
GPIO_1[14],Unknown,PIN_R20,,,,3.3-V LVTTL,,,,
GPIO_1[15],Unknown,PIN_T22,5,B5_N0,,3.3-V LVTTL,,,,
GPIO_1[16],Unknown,PIN_T23,,,,3.3-V LVTTL,,,,
